Measurement id = 33507959 To popcluster11.atlas.winet.dcc.ufmg.br  created -> start :2021-11-19 10:14 estimation of stop:2021-11-19 18:34-> 10099,10203,10222,10237,10293,10338,10443,10477,10564,10587,10667,11149,11162,11289,6944,6945,6946,6947,6954,6958,10179,10210,10350,10403,10658,10688,10777,10904,11046,11174,11179,11266,11274,11350,11440,11484,6833,1001461,6953,10031,10134,10554,11050,6295,54606,10281,11066,52413,1002093,11243,54513,11016,21377,11529,11608,11633,11649,11722,11864,12349,12501,12583,12617,12808,12873,12890,13077,13200,13229,13389,13396,13411,13469,13477,14080,14213,14242,14244,14387,14531,14555,14587,14635,14843,14899,14973,15430,16044,16083,16163,16234,16300,16576,16583,11487,11550,11621,11642,11691,11747
Measurement id = 33507962 To popcluster12.atlas.winet.dcc.ufmg.br  created -> start :2021-11-19 10:14 estimation of stop:2021-11-19 18:34-> 10099,10203,10222,10237,10293,10338,10443,10477,10564,10587,10667,11149,11162,11289,6944,6945,6946,6947,6954,6958,10179,10210,10350,10403,10658,10688,10777,10904,11046,11174,11179,11266,11274,11350,11440,11484,6833,1001461,6953,10031,10134,10554,11050,6295,54606,10281,11066,52413,1002093,11243,54513,11016,21377,11529,11608,11633,11649,11722,11864,12349,12501,12583,12617,12808,12873,12890,13077,13200,13229,13389,13396,13411,13469,13477,14080,14213,14242,14244,14387,14531,14555,14587,14635,14843,14899,14973,15430,16044,16083,16163,16234,16300,16576,16583,11487,11550,11621,11642,11691,11747
Measurement id = 33507964 To popcluster13.atlas.winet.dcc.ufmg.br  created -> start :2021-11-19 10:14 estimation of stop:2021-11-19 18:34-> 10099,10203,10222,10237,10293,10338,10443,10477,10564,10587,10667,11149,11162,11289,6944,6945,6946,6947,6954,6958,10179,10210,10350,10403,10658,10688,10777,10904,11046,11174,11179,11266,11274,11350,11440,11484,6833,1001461,6953,10031,10134,10554,11050,6295,54606,10281,11066,52413,1002093,11243,54513,11016,21377,11529,11608,11633,11649,11722,11864,12349,12501,12583,12617,12808,12873,12890,13077,13200,13229,13389,13396,13411,13469,13477,14080,14213,14242,14244,14387,14531,14555,14587,14635,14843,14899,14973,15430,16044,16083,16163,16234,16300,16576,16583,11487,11550,11621,11642,11691,11747
Measurement id = 33507966 To popcluster14.atlas.winet.dcc.ufmg.br  created -> start :2021-11-19 10:14 estimation of stop:2021-11-19 18:34-> 10099,10203,10222,10237,10293,10338,10443,10477,10564,10587,10667,11149,11162,11289,6944,6945,6946,6947,6954,6958,10179,10210,10350,10403,10658,10688,10777,10904,11046,11174,11179,11266,11274,11350,11440,11484,6833,1001461,6953,10031,10134,10554,11050,6295,54606,10281,11066,52413,1002093,11243,54513,11016,21377,11529,11608,11633,11649,11722,11864,12349,12501,12583,12617,12808,12873,12890,13077,13200,13229,13389,13396,13411,13469,13477,14080,14213,14242,14244,14387,14531,14555,14587,14635,14843,14899,14973,15430,16044,16083,16163,16234,16300,16576,16583,11487,11550,11621,11642,11691,11747
Measurement id = 33507969 To popcluster15.atlas.winet.dcc.ufmg.br  created -> start :2021-11-19 10:14 estimation of stop:2021-11-19 18:34-> 10099,10203,10222,10237,10293,10338,10443,10477,10564,10587,10667,11149,11162,11289,6944,6945,6946,6947,6954,6958,10179,10210,10350,10403,10658,10688,10777,10904,11046,11174,11179,11266,11274,11350,11440,11484,6833,1001461,6953,10031,10134,10554,11050,6295,54606,10281,11066,52413,1002093,11243,54513,11016,21377,11529,11608,11633,11649,11722,11864,12349,12501,12583,12617,12808,12873,12890,13077,13200,13229,13389,13396,13411,13469,13477,14080,14213,14242,14244,14387,14531,14555,14587,14635,14843,14899,14973,15430,16044,16083,16163,16234,16300,16576,16583,11487,11550,11621,11642,11691,11747
Measurement id = 33507971 To popcluster16.atlas.winet.dcc.ufmg.br  created -> start :2021-11-19 10:14 estimation of stop:2021-11-19 18:34-> 10099,10203,10222,10237,10293,10338,10443,10477,10564,10587,10667,11149,11162,11289,6944,6945,6946,6947,6954,6958,10179,10210,10350,10403,10658,10688,10777,10904,11046,11174,11179,11266,11274,11350,11440,11484,6833,1001461,6953,10031,10134,10554,11050,6295,54606,10281,11066,52413,1002093,11243,54513,11016,21377,11529,11608,11633,11649,11722,11864,12349,12501,12583,12617,12808,12873,12890,13077,13200,13229,13389,13396,13411,13469,13477,14080,14213,14242,14244,14387,14531,14555,14587,14635,14843,14899,14973,15430,16044,16083,16163,16234,16300,16576,16583,11487,11550,11621,11642,11691,11747
Measurement id = 33507973 To popcluster17.atlas.winet.dcc.ufmg.br  created -> start :2021-11-19 10:14 estimation of stop:2021-11-19 18:34-> 10099,10203,10222,10237,10293,10338,10443,10477,10564,10587,10667,11149,11162,11289,6944,6945,6946,6947,6954,6958,10179,10210,10350,10403,10658,10688,10777,10904,11046,11174,11179,11266,11274,11350,11440,11484,6833,1001461,6953,10031,10134,10554,11050,6295,54606,10281,11066,52413,1002093,11243,54513,11016,21377,11529,11608,11633,11649,11722,11864,12349,12501,12583,12617,12808,12873,12890,13077,13200,13229,13389,13396,13411,13469,13477,14080,14213,14242,14244,14387,14531,14555,14587,14635,14843,14899,14973,15430,16044,16083,16163,16234,16300,16576,16583,11487,11550,11621,11642,11691,11747
Measurement id = 33507976 To popcluster18.atlas.winet.dcc.ufmg.br  created -> start :2021-11-19 10:14 estimation of stop:2021-11-19 18:34-> 10099,10203,10222,10237,10293,10338,10443,10477,10564,10587,10667,11149,11162,11289,6944,6945,6946,6947,6954,6958,10179,10210,10350,10403,10658,10688,10777,10904,11046,11174,11179,11266,11274,11350,11440,11484,6833,1001461,6953,10031,10134,10554,11050,6295,54606,10281,11066,52413,1002093,11243,54513,11016,21377,11529,11608,11633,11649,11722,11864,12349,12501,12583,12617,12808,12873,12890,13077,13200,13229,13389,13396,13411,13469,13477,14080,14213,14242,14244,14387,14531,14555,14587,14635,14843,14899,14973,15430,16044,16083,16163,16234,16300,16576,16583,11487,11550,11621,11642,11691,11747
Measurement id = 33507978 To popcluster19.atlas.winet.dcc.ufmg.br  created -> start :2021-11-19 10:14 estimation of stop:2021-11-19 18:34-> 10099,10203,10222,10237,10293,10338,10443,10477,10564,10587,10667,11149,11162,11289,6944,6945,6946,6947,6954,6958,10179,10210,10350,10403,10658,10688,10777,10904,11046,11174,11179,11266,11274,11350,11440,11484,6833,1001461,6953,10031,10134,10554,11050,6295,54606,10281,11066,52413,1002093,11243,54513,11016,21377,11529,11608,11633,11649,11722,11864,12349,12501,12583,12617,12808,12873,12890,13077,13200,13229,13389,13396,13411,13469,13477,14080,14213,14242,14244,14387,14531,14555,14587,14635,14843,14899,14973,15430,16044,16083,16163,16234,16300,16576,16583,11487,11550,11621,11642,11691,11747
Measurement id = 33507981 To popcluster20.atlas.winet.dcc.ufmg.br  created -> start :2021-11-19 10:14 estimation of stop:2021-11-19 18:34-> 10099,10203,10222,10237,10293,10338,10443,10477,10564,10587,10667,11149,11162,11289,6944,6945,6946,6947,6954,6958,10179,10210,10350,10403,10658,10688,10777,10904,11046,11174,11179,11266,11274,11350,11440,11484,6833,1001461,6953,10031,10134,10554,11050,6295,54606,10281,11066,52413,1002093,11243,54513,11016,21377,11529,11608,11633,11649,11722,11864,12349,12501,12583,12617,12808,12873,12890,13077,13200,13229,13389,13396,13411,13469,13477,14080,14213,14242,14244,14387,14531,14555,14587,14635,14843,14899,14973,15430,16044,16083,16163,16234,16300,16576,16583,11487,11550,11621,11642,11691,11747
